lambda,Pb,Pd,Nc
13.2,0.6217017227,0.3025407015,13.4244933032
13.3,0.6243934898,0.3004185403,13.4306112154
13.4,0.6270481755,0.2983249588,13.4366040759
13.5,0.6296665131,0.2962594129,13.442475581
13.6,0.6322492177,0.2942213706,13.4482292864
13.7,0.6347969868,0.2922103124,13.4538686133
13.8,0.6373105009,0.290225731,13.4593968552
13.9,0.6397904236,0.2882671304,13.464817183
14,0.6422374025,0.2863340261,13.4701326509
14.1,0.6446520692,0.284425945,13.4753462015
14.2,0.6470350403,0.2825424245,13.4804606706
14.3,0.6493869173,0.2806830128,13.4854787924
14.4,0.6517082873,0.2788472682,13.4904032031
14.5,0.6539997234,0.2770347593,13.495236446
14.6,0.656261785,0.2752450643,13.499980975
14.7,0.658495018,0.2734777711,13.5046391583
14.8,0.6606999558,0.2717324767,13.5092132825
14.9,0.6628771187,0.2700087873,13.5137055557
15,0.6650270153,0.268306318,13.5181181107
15.1,0.6671501419,0.2666246925,13.5224530085
15.2,0.6692469836,0.2649635427,13.5267122407
15.3,0.6713180139,0.263322509,13.530897733
15.4,0.6733636955,0.2617012395,13.5350113472
15.5,0.6753844807,0.2600993903,13.5390548843
15.6,0.6773808111,0.2585166248,13.5430300864
15.7,0.6793531185,0.256952614,13.5469386398
15.8,0.6813018246,0.2554070361,13.5507821763
15.9,0.683227342,0.2538795763,13.5545622759
16,0.6851300736,0.2523699264,13.5582804689
16.1,0.6870104135,0.2508777852,13.5619382373
16.2,0.6888687471,0.2494028579,13.5655370171
16.3,0.6907054509,0.2479448558,13.5690781998
16.4,0.6925208935,0.2465034967,13.5725631342
16.5,0.6943154351,0.2450785043,13.5759931281
16.6,0.696089428,0.2436696081,13.5793694494
16.7,0.6978432171,0.2422765433,13.5826933283
16.8,0.6995771396,0.2408990509,13.5859659578
16.9,0.7012915253,0.239536877,13.5891884959
17,0.7029866972,0.2381897733,13.5923620664
17.1,0.7046629712,0.2368574966,13.5954877599
17.2,0.7063206565,0.2355398086,13.5985666358
17.3,0.7079600556,0.2342364761,13.6015997226
17.4,0.709581465,0.2329472707,13.6045880195
17.5,0.7111851744,0.2316719684,13.6075324969
17.6,0.712771468,0.2304103502,13.6104340983
17.7,0.7143406236,0.2291622012,13.6132937401
17.8,0.7158929136,0.2279273111,13.6161123135
17.9,0.7174286045,0.2267054737,13.6188906849
18,0.7189479576,0.2254964869,13.6216296966
18.1,0.7204512284,0.2243001528,13.6243301681
18.2,0.7219386678,0.2231162773,13.6269928965
18.3,0.723410521,0.2219446703,13.6296186573
18.4,0.7248670286,0.2207851453,13.6322082052
18.5,0.7263084264,0.2196375195,13.6347622747
18.6,0.7277349453,0.2185016139,13.6372815809
18.7,0.7291468115,0.2173772526,13.63976682
18.8,0.7305442471,0.2162642636,13.6422186698
18.9,0.7319274694,0.2151624777,13.6446377908
19,0.7332966916,0.2140717294,13.647024826
19.1,0.7346521229,0.2129918562,13.6493804021
19.2,0.735993968,0.2119226987,13.6517051297
19.3,0.737322428,0.2108641005,13.6539996038
19.4,0.7386376999,0.2098159083,13.6562644046
19.5,0.739939977,0.2087779717,13.6585000975
19.6,0.741229449,0.2077501429,13.6607072337
19.7,0.7425063016,0.2067322771,13.6628863511
19.8,0.7437707174,0.2057242321,13.6650379738
19.9,0.7450228753,0.2047258684,13.6671626136
20,0.7462629509,0.2037370491,13.6692607693
