lambda,Pb,Pd,Nc
13.1,0.6739876015,0.2496765206,13.5388614995
13.2,0.676343293,0.2478991312,13.54351023
13.3,0.678665768,0.2461462621,13.5480681419
13.4,0.6809557079,0.2444174265,13.552537819
13.5,0.6832137762,0.2427121497,13.5569217502
13.6,0.6854406192,0.2410299691,13.561222333
13.7,0.6876368661,0.2393704332,13.5654418782
13.8,0.6898031301,0.2377331018,13.5695826131
13.9,0.6919400084,0.2361175455,13.5736466858
14,0.694048083,0.2345233456,13.5776361683
14.1,0.6961279208,0.2329500933,13.5815530598
14.2,0.6981800747,0.23139739,13.5853992898
14.3,0.7002050834,0.2298648467,13.5891767212
14.4,0.702203472,0.2283520835,13.592887153
14.5,0.7041757527,0.22685873,13.5965323229
14.6,0.7061224248,0.2253844246,13.6001139101
14.7,0.7080439751,0.223928814,13.6036335374
14.8,0.7099408789,0.2224915535,13.6070927739
14.9,0.7118135993,0.2210723067,13.6104931367
15,0.7136625886,0.2196707448,13.6138360933
15.1,0.7154882877,0.2182865467,13.6171230636
15.2,0.7172911272,0.2169193991,13.6203554216
15.3,0.7190715272,0.2155689957,13.6235344976
15.4,0.7208298979,0.2142350372,13.6266615792
15.5,0.7225666395,0.2129172314,13.6297379137
15.6,0.7242821432,0.2116152927,13.6327647094
15.7,0.7259767904,0.210328942,13.6357431368
15.8,0.7276509542,0.2090579065,13.6386743304
15.9,0.7293049986,0.2078019196,13.6415593902
16,0.7309392793,0.2065607207,13.6443993822
16.1,0.7325541438,0.2053340549,13.6471953408
16.2,0.7341499317,0.2041216732,13.6499482689
16.3,0.7357269748,0.2029233319,13.6526591399
16.4,0.7372855974,0.2017387929,13.6553288981
16.5,0.7388261164,0.200567823,13.6579584604
16.6,0.7403488416,0.1994101946,13.6605487166
16.7,0.741854076,0.1982656845,13.663100531
16.8,0.7433421158,0.1971340747,13.6656147429
16.9,0.7448132506,0.1960151518,13.6680921678
17,0.7462677636,0.194908707,13.6705335977
17.1,0.747705932,0.1938145359,13.6729398026
17.2,0.7491280266,0.1927324385,13.6753115309
17.3,0.7505343128,0.191662219,13.6776495099
17.4,0.7519250498,0.1906036858,13.6799544471
17.5,0.7533004915,0.1895566513,13.6822270305
17.6,0.7546608864,0.1885209318,13.6844679292
17.7,0.7560064775,0.1874963473,13.6866777943
17.8,0.7573375029,0.1864827218,13.6888572592
17.9,0.7586541956,0.1854798827,13.6910069406
18,0.7599567835,0.1844876609,13.6931274386
18.1,0.7612454902,0.1835058911,13.6952193375
18.2,0.7625205342,0.1825344109,13.6972832062
18.3,0.7637821297,0.1815730615,13.6993195988
18.4,0.7650304866,0.1806216873,13.7013290552
18.5,0.7662658103,0.1796801356,13.703312101
18.6,0.7674883021,0.178748257,13.7052692486
18.7,0.7686981593,0.1778259049,13.7072009973
18.8,0.769895575,0.1769129356,13.7091078338
18.9,0.7710807387,0.1760092084,13.7109902325
19,0.7722538359,0.1751145851,13.7128486559
19.1,0.7734150485,0.1742289306,13.7146835551
19.2,0.7745645548,0.1733521119,13.71649537
19.3,0.7757025295,0.172483999,13.7182845296
19.4,0.776829144,0.1716244643,13.7200514527
19.5,0.7779445663,0.1707733824,13.7217965475
19.6,0.7790489611,0.1699306308,13.7235202128
19.7,0.7801424899,0.1690960888,13.7252228375
19.8,0.7812253112,0.1682696383,13.7269048013
19.9,0.7822975804,0.1674511633,13.7285664751
20,0.7833594499,0.1666405501,13.7302082207
