lambda,fixed,Pb,Pd,Nc,N
18.9000000000,1,0.7711371667,0.1759720000,13.9792510458,30000000
17.7000000000,1,0.7560186000,0.1874672667,13.9563803338,30000000
14.1000000000,1,0.6961710333,0.2328640000,13.8534792413,30000000
12.9000000000,1,0.6692121000,0.2533390000,13.8031330120,30000000
16.5000000000,1,0.7388375667,0.2005599333,13.9278047445,30000000
15.3000000000,1,0.7190697000,0.2155928000,13.8943693624,30000000
11.7000000000,1,0.6370516000,0.2774241667,13.7382474269,30000000
10.5000000000,1,0.5983887667,0.3063202000,13.6529886520,30000000
9.2000000000,1,0.5462530667,0.3449699000,13.5240072912,30000000
0.1000000000,1,0.0000000000,0.0060617333,0.1292207588,30000000
7.9000000000,1,0.4797773333,0.3937261000,13.3316409720,30000000
6.6000000000,1,0.3927879667,0.4557185333,13.0189708311,30000000
5.3000000000,1,0.2796478333,0.5316272000,12.4541444764,30000000
4.0000000000,1,0.1412113000,0.6088259333,11.3032464791,30000000
2.7000000000,1,0.0259262000,0.6041976333,8.8768799912,30000000
1.4000000000,1,0.0001332333,0.3374825333,4.8224098961,30000000
19.0000000000,1,0.7722532333,0.1750987667,13.9819220931,30000000
17.8000000000,1,0.7573150000,0.1865606667,13.9576499164,30000000
16.6000000000,1,0.7403592333,0.1994108000,13.9309123229,30000000
15.4000000000,1,0.7207493000,0.2143957333,13.8963712522,30000000
14.2000000000,1,0.6981787333,0.2313571333,13.8577189738,30000000
13.0000000000,1,0.6715421000,0.2515006000,13.8077851277,30000000
11.8000000000,1,0.6398508667,0.2753564000,13.7442378083,30000000
10.6000000000,1,0.6016952667,0.3038559333,13.6606222662,30000000
9.3000000000,1,0.5507399000,0.3417328333,13.5358745595,30000000
0.2000000000,1,0.0000000000,0.0146012333,0.3156098966,30000000
8.0000000000,1,0.4855511667,0.3894774667,13.3502852847,30000000
6.7000000000,1,0.4005060000,0.4503673000,13.0497916670,30000000
5.4000000000,1,0.2893511000,0.5254219667,12.5145089486,30000000
4.1000000000,1,0.1520912667,0.6040372333,11.4263272167,30000000
2.8000000000,1,0.0316833000,0.6115023333,9.1233093559,30000000
1.5000000000,1,0.0002599667,0.3696149667,5.1949170209,30000000
15.3000000000,1,0.7190163000,0.2155878333,13.6238116141,30000000
14.1000000000,1,0.6961444667,0.2328831667,13.5813022699,30000000
16.5000000000,1,0.7388272667,0.2006113667,13.6576624417,30000000
18.9000000000,1,0.7710910333,0.1760355333,13.7111043654,30000000
17.7000000000,1,0.7559088000,0.1876052667,13.6867164597,30000000
12.9000000000,1,0.6691373000,0.2533571667,13.5291375789,30000000
11.7000000000,1,0.6369430000,0.2775179000,13.4625711392,30000000
10.5000000000,1,0.5982696333,0.3064534000,13.3739725757,30000000
0.1000000000,1,0.0000000000,0.0060621333,0.1095186134,30000000
9.2000000000,1,0.5462552000,0.3449779333,13.2422200117,30000000
7.9000000000,1,0.4797115667,0.3937053333,13.0433077548,30000000
6.6000000000,1,0.3927917000,0.4558161667,12.7194837984,30000000
5.3000000000,1,0.2795047667,0.5316934333,12.1314875814,30000000
4.0000000000,1,0.1412032667,0.6086154667,10.9195918131,30000000
2.7000000000,1,0.0258673667,0.6041642333,8.2986166785,30000000
1.4000000000,1,0.0001289000,0.3375526667,3.8260727870,30000000
17.8000000000,1,0.7572794000,0.1865491000,13.6889126370,30000000
19.0000000000,1,0.7721625000,0.1752416667,13.7126069268,30000000
16.6000000000,1,0.7403841333,0.1993735333,13.6603357798,30000000
14.2000000000,1,0.6982122000,0.2314154333,13.5859490196,30000000
15.4000000000,1,0.7208171667,0.2142358000,13.6265740267,30000000
13.0000000000,1,0.6715354333,0.2515307333,13.5339718999,30000000
11.8000000000,1,0.6399756000,0.2751943667,13.4686552103,30000000
10.6000000000,1,0.6017873333,0.3038898667,13.3820228908,30000000
9.3000000000,1,0.4884200667,0.3032602333,0.0000000000,30000000
0.2000000000,1,0.0000000000,0.0146086000,0.2405551699,30000000
8.0000000000,1,0.4853981667,0.3896706333,13.0623796818,30000000
6.7000000000,1,0.4005925667,0.4501298667,12.7515314721,30000000
5.4000000000,1,0.2892610667,0.5255879667,12.1923112227,30000000
4.1000000000,1,0.1523642667,0.6038327000,11.0531377047,30000000
2.8000000000,1,0.0316901667,0.6113881333,8.5714859306,30000000
1.5000000000,1,0.0002566333,0.3695068000,4.2122180497,30000000
17.9000000000,1,0.7586901667,0.1854482667,13.6911906163,30000000
19.1000000000,1,0.7734014667,0.1742398667,13.7147983470,30000000
15.5000000000,1,0.7225125333,0.2129544667,13.6291399504,30000000
16.7000000000,1,0.7419603667,0.1982567000,13.6631641638,30000000
14.3000000000,1,0.7003346667,0.2297937000,13.5892316560,30000000
